method,information_window,difficulty,horizon,instances,root_accuracy,root_wilson95_low,root_wilson95_high,failed_safeguard_identification_rate,persistence_mediator_identification_rate,visible_symptom_identification_rate,role_output_instances,visible_symptom_eligible_instances,invalid_output_rate,mean_graph_distance,subgraph_precision,subgraph_recall,mean_latency_seconds,api_calls,token_usage_total,provider_reported_cost_usd
deepseek_symptom_episode,symptom_episode_only,E1,3,5,0.0,0.0,0.43448246478317476,,,,0,5,0,2,1.0,0.16666666666666666,2.12832881899958,5,1535,
deepseek_symptom_episode,symptom_episode_only,E1,5,5,0.0,0.0,0.43448246478317476,,,,0,5,0,2,1.0,0.16666666666666666,1.9523498639959143,5,1535,
deepseek_symptom_episode,symptom_episode_only,E1,10,5,0.0,0.0,0.43448246478317476,,,,0,5,0,2,1.0,0.16666666666666666,1.8834862774034264,5,1535,
deepseek_symptom_episode,symptom_episode_only,E2,1,5,1.0,0.5655175352168251,1.0,,,,0,0,0,0,1.0,0.16666666666666666,2.1291640109964645,5,1465,
deepseek_symptom_episode,symptom_episode_only,E2,3,5,0.0,0.0,0.43448246478317476,,,,0,5,0,2,1.0,0.16666666666666666,1.666556682207738,5,1595,
deepseek_symptom_episode,symptom_episode_only,E2,5,5,0.0,0.0,0.43448246478317476,,,,0,5,0,2,1.0,0.16666666666666666,1.827475324398256,5,1595,
deepseek_symptom_episode,symptom_episode_only,E2,10,5,0.0,0.0,0.43448246478317476,,,,0,5,0,2,1.0,0.16666666666666666,1.6323578285955591,5,1595,
deepseek_symptom_episode,symptom_episode_only,E3,1,5,1.0,0.5655175352168251,1.0,,,,0,0,0,0,1.0,0.16666666666666666,2.008132123001269,5,1510,
deepseek_symptom_episode,symptom_episode_only,E3,3,5,0.0,0.0,0.43448246478317476,,,,0,0,0,2,1.0,0.16666666666666666,1.979277418399579,5,1550,
deepseek_symptom_episode,symptom_episode_only,E3,5,5,0.0,0.0,0.43448246478317476,,,,0,5,0,2,1.0,0.16666666666666666,1.8549842631968203,5,1600,
deepseek_symptom_episode,symptom_episode_only,E3,10,5,0.0,0.0,0.43448246478317476,,,,0,5,0,2,1.0,0.16666666666666666,1.7681321351992665,5,1600,
last_visible_failure,symptom_episode_only,E0,1,5,0.0,0.0,0.43448246478317476,,,,0,0,0,5,1.0,0.16666666666666666,0.0,0,0,
last_visible_failure,symptom_episode_only,E0,3,5,0.0,0.0,0.43448246478317476,,,,0,5,0,4,1.0,0.16666666666666666,0.0,0,0,
last_visible_failure,symptom_episode_only,E0,5,5,0.0,0.0,0.43448246478317476,,,,0,5,0,4,1.0,0.16666666666666666,0.0,0,0,
last_visible_failure,symptom_episode_only,E0,10,5,0.0,0.0,0.43448246478317476,,,,0,5,0,4,1.0,0.16666666666666666,0.0,0,0,
last_visible_failure,symptom_episode_only,E1,1,5,0.0,0.0,0.43448246478317476,,,,0,0,0,5,1.0,0.16666666666666666,0.0,0,0,
last_visible_failure,symptom_episode_only,E1,3,5,0.0,0.0,0.43448246478317476,,,,0,5,0,4,1.0,0.16666666666666666,0.0,0,0,
last_visible_failure,symptom_episode_only,E1,5,5,0.0,0.0,0.43448246478317476,,,,0,5,0,4,1.0,0.16666666666666666,0.0,0,0,
last_visible_failure,symptom_episode_only,E1,10,5,0.0,0.0,0.43448246478317476,,,,0,5,0,4,1.0,0.16666666666666666,0.0,0,0,
last_visible_failure,symptom_episode_only,E2,1,5,0.0,0.0,0.43448246478317476,,,,0,0,0,5,1.0,0.16666666666666666,0.0,0,0,
last_visible_failure,symptom_episode_only,E2,3,5,0.0,0.0,0.43448246478317476,,,,0,5,0,4,1.0,0.16666666666666666,0.0,0,0,
last_visible_failure,symptom_episode_only,E2,5,5,0.0,0.0,0.43448246478317476,,,,0,5,0,4,1.0,0.16666666666666666,0.0,0,0,
last_visible_failure,symptom_episode_only,E2,10,5,0.0,0.0,0.43448246478317476,,,,0,5,0,4,1.0,0.16666666666666666,0.0,0,0,
last_visible_failure,symptom_episode_only,E3,1,5,0.0,0.0,0.43448246478317476,,,,0,0,0,5,1.0,0.16666666666666666,0.0,0,0,
last_visible_failure,symptom_episode_only,E3,3,5,0.0,0.0,0.43448246478317476,,,,0,0,0,5,1.0,0.16666666666666666,0.0,0,0,
last_visible_failure,symptom_episode_only,E3,5,5,0.0,0.0,0.43448246478317476,,,,0,5,0,4,1.0,0.16666666666666666,0.0,0,0,
last_visible_failure,symptom_episode_only,E3,10,5,0.0,0.0,0.43448246478317476,,,,0,5,0,4,1.0,0.16666666666666666,0.0,0,0,
maximum_raw_divergence,paired_multi_episode,E0,1,5,0.0,0.0,0.43448246478317476,,,,0,0,0,1,1.0,0.16666666666666666,0.0,0,0,
maximum_raw_divergence,paired_multi_episode,E0,3,5,0.0,0.0,0.43448246478317476,,,,0,5,0,4,1.0,0.16666666666666666,0.0,0,0,
maximum_raw_divergence,paired_multi_episode,E0,5,5,0.0,0.0,0.43448246478317476,,,,0,5,0,4,1.0,0.16666666666666666,0.0,0,0,
maximum_raw_divergence,paired_multi_episode,E0,10,5,0.0,0.0,0.43448246478317476,,,,0,5,0,4,1.0,0.16666666666666666,0.0,0,0,
maximum_raw_divergence,paired_multi_episode,E1,1,5,0.0,0.0,0.43448246478317476,,,,0,0,0,1,1.0,0.16666666666666666,0.0,0,0,
maximum_raw_divergence,paired_multi_episode,E1,3,5,0.0,0.0,0.43448246478317476,,,,0,5,0,4,1.0,0.16666666666666666,0.0,0,0,
maximum_raw_divergence,paired_multi_episode,E1,5,5,0.0,0.0,0.43448246478317476,,,,0,5,0,4,1.0,0.16666666666666666,0.0,0,0,
maximum_raw_divergence,paired_multi_episode,E1,10,5,0.0,0.0,0.43448246478317476,,,,0,5,0,4,1.0,0.16666666666666666,0.0,0,0,
maximum_raw_divergence,paired_multi_episode,E2,1,5,0.0,0.0,0.43448246478317476,,,,0,0,0,2,1.0,0.16666666666666666,0.0,0,0,
maximum_raw_divergence,paired_multi_episode,E2,3,5,0.0,0.0,0.43448246478317476,,,,0,5,0,4,1.0,0.16666666666666666,0.0,0,0,
maximum_raw_divergence,paired_multi_episode,E2,5,5,0.0,0.0,0.43448246478317476,,,,0,5,0,4,1.0,0.16666666666666666,0.0,0,0,
maximum_raw_divergence,paired_multi_episode,E2,10,5,0.0,0.0,0.43448246478317476,,,,0,5,0,4,1.0,0.16666666666666666,0.0,0,0,
maximum_raw_divergence,paired_multi_episode,E3,1,5,0.0,0.0,0.43448246478317476,,,,0,0,0,5,1.0,0.16666666666666666,0.0,0,0,
maximum_raw_divergence,paired_multi_episode,E3,3,5,0.0,0.0,0.43448246478317476,,,,0,0,0,5,1.0,0.16666666666666666,0.0,0,0,
maximum_raw_divergence,paired_multi_episode,E3,5,5,0.0,0.0,0.43448246478317476,,,,0,5,0,4,1.0,0.16666666666666666,0.0,0,0,
maximum_raw_divergence,paired_multi_episode,E3,10,5,0.0,0.0,0.43448246478317476,,,,0,5,0,4,1.0,0.16666666666666666,0.0,0,0,
naive_first_aligned_difference,paired_multi_episode,E0,1,5,1.0,0.5655175352168251,1.0,,,,0,0,0,0,1.0,0.16666666666666666,0.0,0,0,
naive_first_aligned_difference,paired_multi_episode,E0,3,5,1.0,0.5655175352168251,1.0,,,,0,5,0,0,1.0,0.16666666666666666,0.0,0,0,
naive_first_aligned_difference,paired_multi_episode,E0,5,5,1.0,0.5655175352168251,1.0,,,,0,5,0,0,1.0,0.16666666666666666,0.0,0,0,
naive_first_aligned_difference,paired_multi_episode,E0,10,5,1.0,0.5655175352168251,1.0,,,,0,5,0,0,1.0,0.16666666666666666,0.0,0,0,
naive_first_aligned_difference,paired_multi_episode,E1,1,5,1.0,0.5655175352168251,1.0,,,,0,0,0,0,1.0,0.16666666666666666,0.0,0,0,
naive_first_aligned_difference,paired_multi_episode,E1,3,5,1.0,0.5655175352168251,1.0,,,,0,5,0,0,1.0,0.16666666666666666,0.0,0,0,
naive_first_aligned_difference,paired_multi_episode,E1,5,5,1.0,0.5655175352168251,1.0,,,,0,5,0,0,1.0,0.16666666666666666,0.0,0,0,
naive_first_aligned_difference,paired_multi_episode,E1,10,5,1.0,0.5655175352168251,1.0,,,,0,5,0,0,1.0,0.16666666666666666,0.0,0,0,
naive_first_aligned_difference,paired_multi_episode,E2,1,5,1.0,0.5655175352168251,1.0,,,,0,0,0,0,1.0,0.16666666666666666,0.0,0,0,
naive_first_aligned_difference,paired_multi_episode,E2,3,5,1.0,0.5655175352168251,1.0,,,,0,5,0,0,1.0,0.16666666666666666,0.0,0,0,
naive_first_aligned_difference,paired_multi_episode,E2,5,5,1.0,0.5655175352168251,1.0,,,,0,5,0,0,1.0,0.16666666666666666,0.0,0,0,
naive_first_aligned_difference,paired_multi_episode,E2,10,5,1.0,0.5655175352168251,1.0,,,,0,5,0,0,1.0,0.16666666666666666,0.0,0,0,
naive_first_aligned_difference,paired_multi_episode,E3,1,5,1.0,0.5655175352168251,1.0,,,,0,0,0,0,1.0,0.16666666666666666,0.0,0,0,
naive_first_aligned_difference,paired_multi_episode,E3,3,5,1.0,0.5655175352168251,1.0,,,,0,0,0,0,1.0,0.16666666666666666,0.0,0,0,
naive_first_aligned_difference,paired_multi_episode,E3,5,5,1.0,0.5655175352168251,1.0,,,,0,5,0,0,1.0,0.16666666666666666,0.0,0,0,
naive_first_aligned_difference,paired_multi_episode,E3,10,5,1.0,0.5655175352168251,1.0,,,,0,5,0,0,1.0,0.16666666666666666,0.0,0,0,
temporal_adjacency,corrupt_full_history,E0,1,5,0.0,0.0,0.43448246478317476,,,,0,0,0,2,1.0,0.6666666666666666,0.0,0,0,
temporal_adjacency,corrupt_full_history,E0,3,5,0.0,0.0,0.43448246478317476,,,,0,5,0,2,1.0,0.6666666666666666,0.0,0,0,
temporal_adjacency,corrupt_full_history,E0,5,5,0.0,0.0,0.43448246478317476,,,,0,5,0,2,1.0,0.6666666666666666,0.0,0,0,
temporal_adjacency,corrupt_full_history,E0,10,5,0.0,0.0,0.43448246478317476,,,,0,5,0,2,1.0,0.6666666666666666,0.0,0,0,
temporal_adjacency,corrupt_full_history,E1,1,5,0.0,0.0,0.43448246478317476,,,,0,0,0,2,1.0,0.6666666666666666,0.0,0,0,
temporal_adjacency,corrupt_full_history,E1,3,5,0.0,0.0,0.43448246478317476,,,,0,5,0,2,1.0,0.6666666666666666,0.0,0,0,
temporal_adjacency,corrupt_full_history,E1,5,5,0.0,0.0,0.43448246478317476,,,,0,5,0,2,1.0,0.6666666666666666,0.0,0,0,
temporal_adjacency,corrupt_full_history,E1,10,5,0.0,0.0,0.43448246478317476,,,,0,5,0,2,1.0,0.6666666666666666,0.0,0,0,
temporal_adjacency,corrupt_full_history,E2,1,5,0.0,0.0,0.43448246478317476,,,,0,0,0,2,1.0,0.6666666666666666,0.0,0,0,
temporal_adjacency,corrupt_full_history,E2,3,5,0.0,0.0,0.43448246478317476,,,,0,5,0,2,1.0,0.6666666666666666,0.0,0,0,
temporal_adjacency,corrupt_full_history,E2,5,5,0.0,0.0,0.43448246478317476,,,,0,5,0,2,1.0,0.6666666666666666,0.0,0,0,
temporal_adjacency,corrupt_full_history,E2,10,5,0.0,0.0,0.43448246478317476,,,,0,5,0,2,1.0,0.6666666666666666,0.0,0,0,
temporal_adjacency,corrupt_full_history,E3,1,5,0.0,0.0,0.43448246478317476,,,,0,0,0,2,1.0,0.6666666666666666,0.0,0,0,
temporal_adjacency,corrupt_full_history,E3,3,5,0.0,0.0,0.43448246478317476,,,,0,0,0,2,1.0,0.6666666666666666,0.0,0,0,
temporal_adjacency,corrupt_full_history,E3,5,5,0.0,0.0,0.43448246478317476,,,,0,5,0,2,1.0,0.6666666666666666,0.0,0,0,
temporal_adjacency,corrupt_full_history,E3,10,5,0.0,0.0,0.43448246478317476,,,,0,5,0,2,1.0,0.6666666666666666,0.0,0,0,
